simplified_name	titulo	autor	nivel_educativo	materia	tipo	idioma	ilustraciones	genero	pagina	tamano	deposito_legal	isbn	edad	ficha_didactica
a_fantastic_tale_and_other_stories	A fantastic tale and other stories	Roger Otero Lorent	PRIMARIA	LITERATURA	OBRA_LITERARIA	INGLES		CUENTOS_INFANTILES	92.0	14 x 20 cm			TODO_PUBLICO	YES
amigos_para_siempre	Amigos para siempre	Roger Otero Lorent	PRIMARIA	LITERATURA	OBRA_LITERARIA	ESPANOL	Luigi Guzmán	CUENTOS_INFANTILES_CONTRA_LA_VIOLENCIA	90.0	15 x 21 cm	8-1-2613-19	978-99974-0-997-3	TODO_PUBLICO	YES
antes_de_que_se_vaya_la_ninez	Antes de que se vaya la niñez	Roger Otero Lorent	PRIMARIA	LITERATURA	OBRA_LITERARIA	ESPANOL	CANAM	CUENTOS_INFANTILES	96.0	14 x 21 cm	8-1-3113-2022	978-9917-0-2017-2	TODO_PUBLICO	YES
aplaudamos_al_mosquito_y_otros_cuentos	Aplaudamos al mosquito y otros cuentos	Roger Otero Lorent	PRIMARIA	LITERATURA	OBRA_LITERARIA	ESPANOL		CUENTOS_INFANTILES	84.0	14 x 21 cm			TODO_PUBLICO	YES
asi_era_la_vida	Así era la vida	Roger Otero Lorent	PRIMARIA	LITERATURA	OBRA_LITERARIA	ESPANOL		NOVELA_INFANTIL_JUVENIL	106.0	14 x 20 cm			TODO_PUBLICO	YES
ayudenme_a_recordar	Ayúdenme a recordar	Raúl Otero Reiche	SECUNDARIA	LITERATURA	OBRA_LITERARIA	ESPANOL		POESIA_COSTUMBRISTA_EN_SONETOS	162.0	15 x 21 cm	8-1-917-16	978-99974-58-59-9	TODO_PUBLICO	YES
bullying	Bullying	Roger Otero Lorent	SECUNDARIA	LITERATURA	OBRA_LITERARIA	ESPANOL		NOVELA_JUVENIL	126.0	15 x 21 cm	8-1-1897-14	978-99974-44-22-6	TODO_PUBLICO	YES
cartita_de_amor	Cartita de amor	Roger Otero Lorent	SECUNDARIA	LITERATURA	OBRA_LITERARIA	ESPANOL	Luna Estudio	CUENTOS_INFANTILES	98.0	14 x 21 cm	8-1-2186-2023	978-9917-0-2750-8	TODO_PUBLICO	YES
club_de_lectura_gaia	Club de lectura: Gaia	Fabián Dorigo	SECUNDARIA	LITERATURA	OBRA_LITERARIA	ESPANOL		NOVELA_JUVENIL	140.0	15 x 21 cm	8-1-1918-19	978-99974-0-850-1	TODO_PUBLICO	YES
club_de_lectura_la_invasion_de_los_globots	Club de lectura: la invasión de los globots	Fabián Dorigo	SECUNDARIA	LITERATURA	OBRA_LITERARIA	ESPANOL		NOVELA_JUVENIL	158.0	15 x 21 cm	8-1-2066-18	978-99974-0-241-7	TODO_PUBLICO	YES
club_de_lectura_la_red_neuronal	Club de lectura: la red neuronal	Fabián Dorigo	SECUNDARIA	LITERATURA	OBRA_LITERARIA	ESPANOL		NOVELA_JUVENIL	100.0	15 x 21 cm	8-1-1816-17	978-99974-73-36-3	A_PARTIR_DE_12_ANOS_DE_EDAD	YES
cocacho_el_perro_bilingue	Cocacho, el perro bilingüe	Roger Otero Lorent	PRIMARIA	LITERATURA	OBRA_LITERARIA	ESPANOL	Simona	CUENTOS_INFANTILES_CONTRA_LA_VIOLENCIA	84.0	15 x 21 cm	8-1-2613-19	978-99974-0-997-3	TODO_PUBLICO	YES
cuarentena	Cuarentena	Alicia Barberis, Ezequiel Dellutri, Fabián Dorigo, Fernando Figueras, Juan Guinot, Natalí Tentori, Pablo Martínez Burkett, Álvaro Secondo Escandell, Roberto Navia, Roger Otero Lorent	SECUNDARIA	LITERATURA	OBRA_LITERARIA	ESPANOL		ANTOLOGIA_DE_CUENTOS_JUVENILES_SOBRE_EL_CORONAVIRUS	200.0	15 x 21 cm	8-1-2613-19	978-99974-0-997-3	TODO_PUBLICO	YES
cuentos_con_vocales	Cuentos con vocales	Billy Castillo	PRIMARIA	LITERATURA	OBRA_LITERARIA	ESPANOL	Billy Castillo	CUENTOS_INFANTILES	42.0	15 x 21 cm	8-1-1818-17	978-99974-73-37-0	TODO_PUBLICO	YES
cuentos_de_mi_profe	Cuentos de mi profe	Roger Otero Lorent	PRIMARIA	LITERATURA	OBRA_LITERARIA	ESPANOL	Luis M. Fernandez M.	CUENTO_INFANTIL	52.0	15 x 21 cm	8-1-918-16	978-99974-58-57-5	TODO_PUBLICO	YES
cuentos_de_misterio_para_ninos_y_detectives	Cuentos de misterio para niños y detectives	Roger Otero Lorent	PRIMARIA	LITERATURA	OBRA_LITERARIA	ESPANOL	Luna Estudio	CUENTOS_INFANTILES	116.0	14 x 20 cm			TODO_PUBLICO	YES
cuentos_tristes_para_una_noche_rota	Cuentos tristes para una noche rota	Roger Otero Lorent	PRIMARIA	LITERATURA	OBRA_LITERARIA	ESPANOL		CUENTOS_INFANTILES	100.0	14 x 21 cm			A_PARTIR_DE_12_ANOS_DE_EDAD	YES
cyberbullying	Cyberbullying	Roger Otero Lorent	SECUNDARIA	LITERATURA	OBRA_LITERARIA	ESPANOL		NOVELA_JUVENIL	150.0	15 x 21 cm	8-1-1157-16	978-99974-58-64-3	TODO_PUBLICO	YES
dias_contados	Días contados	Roger Otero Lorent	SECUNDARIA	LITERATURA	OBRA_LITERARIA	ESPANOL		CUENTOS_JUVENILES	72.0	14 x 21 cm	8-1-2613-19	978-99974-0-997-3	A_PARTIR_DE_12_ANOS_DE_EDAD	YES
don_grunon_tarantuloso	Don Gruñón Tarantuloso	Roger Otero Lorent	PRIMARIA	LITERATURA	OBRA_LITERARIA	ESPANOL	Luna Estudio	CUENTOS_INFANTILES	60.0	14 x 21 cm			TODO_PUBLICO	YES
el_amor_en_alguna_parte	El amor en alguna parte	Roger Otero Lorent	SECUNDARIA	LITERATURA	OBRA_LITERARIA	ESPANOL		NOVELA_JUVENIL	78.0	15 x 21 cm	8-1-2140-15	978-99974-50-23-4	TODO_PUBLICO	YES
el_ataque	El ataque	Natalí Tentori	PRIMARIA	LITERATURA	OBRA_LITERARIA	ESPANOL	Aida Elvira Blanco	NOVELA_INFANTIL_JUVENIL	100.0	15 x 21 cm	8-1-1923-19	978-99974-0-854-9	TODO_PUBLICO	YES
el_cascabel_del_gato_y_otros_cuentos	El cascabel del gato y otros cuentos	Roger Otero Lorent	PRIMARIA	LITERATURA	OBRA_LITERARIA	ESPANOL	Luna Estudio	CUENTOS_INFANTILES	90.0	14 x 21 cm			TODO_PUBLICO	YES
el_desorden_de_los_juguetes	El desorden de los juguetes	Roger Otero Lorent	PRIMARIA	LITERATURA	OBRA_LITERARIA	ESPANOL	Luis A.	CUENTOS_INFANTILES	100.0	14 x 21 cm	8-1-2421-2023	978-9917-0-2751-5	TODO_PUBLICO	YES
el_hogar_de_los_pajaros_y_otros_cuentos_infantiles	El hogar de los pájaros y otros cuentos infantiles	Roger Otero Lorent	PRIMARIA	LITERATURA	OBRA_LITERARIA	ESPANOL	Luna Estudio	CUENTOS_INFANTILES	120.0	14 x 20 cm			TODO_PUBLICO	YES
el_hombre_que_golpeaba_con_la_mandibula	El hombre que golpeaba con la mandíbula	Roger Otero Lorent	SECUNDARIA	LITERATURA	OBRA_LITERARIA	ESPANOL	Juanita Golondrina	CUENTOS_JUVENILES	136.0	15 x 21 cm	8-1-2611-19	978-99974-0-999-7	TODO_PUBLICO	YES
el_invento_contra_el_hipo	El invento contra el hipo	Roger Otero Lorent	PRIMARIA	LITERATURA	OBRA_LITERARIA	ESPANOL	Luis M. Fernandez M.	CUENTO_INFANTIL	54.0	15 x 21 cm	8-1-2823-15	978-99974-53-28-0	TODO_PUBLICO	YES
el_nombre_del_caballo	El nombre del caballo	Álvaro Secondo Escandell	SECUNDARIA	LITERATURA	OBRA_LITERARIA	ESPANOL	Gustavo Adrián Desimone	NOVELA_JUVENIL	130.0	15 x 21 cm	8-1-1921-19	978-99974-0-877-8	TODO_PUBLICO	YES
el_sindrome_de_heraclito	El síndrome de Heráclito	Roger Otero Lorent	SECUNDARIA	LITERATURA	OBRA_LITERARIA	ESPANOL		CUENTOS_JUVENILES	118.0	14 x 20 cm			TODO_PUBLICO	YES
el_zurdo_de_oro	El Zurdo de Oro	Roger Otero Lorent	SECUNDARIA	LITERATURA	OBRA_LITERARIA	ESPANOL		NOVELA_JUVENIL	110.0	15 x 21 cm	8-1-2141-15	978-99974-50-25-8	A_PARTIR_DE_12_ANOS_DE_EDAD	YES
ellos_no_saben_que	Ellos no saben qué...	Roger Otero Lorent	SECUNDARIA	LITERATURA	OBRA_LITERARIA	ESPANOL		NOVELA_JUVENIL	120.0		8-1-2419-2023	978-9917-0-2756-0	A_PARTIR_DE_12_ANOS_DE_EDAD	YES
encontre_un_lapiz_y_dibuje_mi_mundo	Encontré un lápiz y dibujé mi mundo	Roger Otero Lorent	PRIMARIA	LITERATURA	OBRA_LITERARIA	ESPANOL	Yanine Senzano Cuéllar	NOVELA_INFANTIL_JUVENIL	120.0	15 x 21 cm	8-1-4218-16	978-99974-63-41-8	TODO_PUBLICO	YES
